datei,typ,vertrag,vendor,warengruppe,pflicht,id,finding,cID,PO
lieferantenprofile/LP_vendorID_0191.pdf,lieferantenprofil,,vendorID_0191,,"['vendorID_0191', '16.04.2021']",,,,
lieferantenprofile/LP_vendorID_0193.pdf,lieferantenprofil,,vendorID_0193,,"['vendorID_0193', '16.10.2020']",,,,
lieferantenprofile/LP_vendorID_0198.pdf,lieferantenprofil,,vendorID_0198,,"['vendorID_0198', '15.05.2018']",,,,
lieferantenprofile/LP_vendorID_0224.pdf,lieferantenprofil,,vendorID_0224,,['vendorID_0224'],,,,
lieferantenprofile/LP_vendorID_0237.pdf,lieferantenprofil,,vendorID_0237,,['vendorID_0237'],,,,
lieferantenprofile/LP_vendorID_0248.pdf,lieferantenprofil,,vendorID_0248,,"['vendorID_0248', '29.11.2019']",,,,
lieferantenprofile/LP_vendorID_0251.pdf,lieferantenprofil,,vendorID_0251,,"['vendorID_0251', '03.07.2019']",,,,
lieferantenprofile/LP_vendorID_0252.pdf,lieferantenprofil,,vendorID_0252,,"['vendorID_0252', '16.06.2018']",,,,
lieferantenprofile/LP_vendorID_0256.pdf,lieferantenprofil,,vendorID_0256,,['vendorID_0256'],,,,
lieferantenprofile/LP_vendorID_0262.pdf,lieferantenprofil,,vendorID_0262,,"['vendorID_0262', '13.07.2020']",,,,
lieferantenprofile/LP_vendorID_0267.pdf,lieferantenprofil,,vendorID_0267,,"['vendorID_0267', '16.08.2019']",,,,
lieferantenprofile/LP_vendorID_0271.pdf,lieferantenprofil,,vendorID_0271,,"['vendorID_0271', '03.03.2021']",,,,
lieferantenprofile/LP_vendorID_0273.pdf,lieferantenprofil,,vendorID_0273,,['vendorID_0273'],,,,
lieferantenprofile/LP_vendorID_0300.pdf,lieferantenprofil,,vendorID_0300,,"['vendorID_0300', '29.02.2020']",,,,
lieferantenprofile/LP_vendorID_0318.pdf,lieferantenprofil,,vendorID_0318,,"['vendorID_0318', '22.05.2020']",,,,
lieferantenprofile/LP_vendorID_0322.pdf,lieferantenprofil,,vendorID_0322,,['vendorID_0322'],,,,
lieferantenprofile/LP_vendorID_0327.pdf,lieferantenprofil,,vendorID_0327,,"['vendorID_0327', '06.12.2020']",,,,
lieferantenprofile/LP_vendorID_0332.pdf,lieferantenprofil,,vendorID_0332,,"['vendorID_0332', '19.07.2018']",,,,
lieferantenprofile/LP_vendorID_0341.pdf,lieferantenprofil,,vendorID_0341,,"['vendorID_0341', '16.06.2018']",,,,
lieferantenprofile/LP_vendorID_0357.pdf,lieferantenprofil,,vendorID_0357,,['vendorID_0357'],,,,
lieferantenprofile/LP_vendorID_0390.pdf,lieferantenprofil,,vendorID_0390,,"['vendorID_0390', '10.11.2020']",,,,
lieferantenprofile/LP_vendorID_0405.pdf,lieferantenprofil,,vendorID_0405,,"['vendorID_0405', '05.07.2018']",,,,
lieferantenprofile/LP_vendorID_0433.pdf,lieferantenprofil,,vendorID_0433,,"['vendorID_0433', '24.02.2019']",,,,
lieferantenprofile/LP_vendorID_0445.pdf,lieferantenprofil,,vendorID_0445,,"['vendorID_0445', '08.04.2020']",,,,
lieferantenprofile/LP_vendorID_0448.pdf,lieferantenprofil,,vendorID_0448,,"['vendorID_0448', '28.08.2020']",,,,
lieferantenprofile/LP_vendorID_0454.pdf,lieferantenprofil,,vendorID_0454,,"['vendorID_0454', '07.05.2020']",,,,
lieferantenprofile/LP_vendorID_0455.pdf,lieferantenprofil,,vendorID_0455,,"['vendorID_0455', '28.02.2021']",,,,
lieferantenprofile/LP_vendorID_0458.pdf,lieferantenprofil,,vendorID_0458,,['vendorID_0458'],,,,
lieferantenprofile/LP_vendorID_0479.pdf,lieferantenprofil,,vendorID_0479,,"['vendorID_0479', '31.12.2020']",,,,
lieferantenprofile/LP_vendorID_0480.pdf,lieferantenprofil,,vendorID_0480,,"['vendorID_0480', '08.09.2020']",,,,
lieferantenprofile/LP_vendorID_0483.pdf,lieferantenprofil,,vendorID_0483,,"['vendorID_0483', '11.09.2019']",,,,
lieferantenprofile/LP_vendorID_0484.pdf,lieferantenprofil,,vendorID_0484,,"['vendorID_0484', '25.06.2020']",,,,
lieferantenprofile/LP_vendorID_0485.pdf,lieferantenprofil,,vendorID_0485,,['vendorID_0485'],,,,
lieferantenprofile/LP_vendorID_0488.pdf,lieferantenprofil,,vendorID_0488,,"['vendorID_0488', '28.12.2020']",,,,
lieferantenprofile/LP_vendorID_0512.pdf,lieferantenprofil,,vendorID_0512,,['vendorID_0512'],,,,
lieferantenprofile/LP_vendorID_0513.pdf,lieferantenprofil,,vendorID_0513,,['vendorID_0513'],,,,
lieferantenprofile/LP_vendorID_0519.pdf,lieferantenprofil,,vendorID_0519,,"['vendorID_0519', '22.05.2018']",,,,
lieferantenprofile/LP_vendorID_0558.pdf,lieferantenprofil,,vendorID_0558,,"['vendorID_0558', '29.08.2020']",,,,
lieferantenprofile/LP_vendorID_0570.pdf,lieferantenprofil,,vendorID_0570,,"['vendorID_0570', '06.08.2020']",,,,
lieferantenprofile/LP_vendorID_0597.pdf,lieferantenprofil,,vendorID_0597,,"['vendorID_0597', '22.10.2020']",,,,
lieferantenprofile/LP_vendorID_0604.pdf,lieferantenprofil,,vendorID_0604,,['vendorID_0604'],,,,
lieferantenprofile/LP_vendorID_0615.pdf,lieferantenprofil,,vendorID_0615,,"['vendorID_0615', '19.06.2019']",,,,
lieferantenprofile/LP_vendorID_0619.pdf,lieferantenprofil,,vendorID_0619,,['vendorID_0619'],,,,
lieferantenprofile/LP_vendorID_0622.pdf,lieferantenprofil,,vendorID_0622,,"['vendorID_0622', '10.01.2019']",,,,
lieferantenprofile/LP_vendorID_0625.pdf,lieferantenprofil,,vendorID_0625,,"['vendorID_0625', '17.08.2018']",,,,
lieferantenprofile/LP_vendorID_0634.pdf,lieferantenprofil,,vendorID_0634,,"['vendorID_0634', '22.01.2019']",,,,
lieferantenprofile/LP_vendorID_0648.pdf,lieferantenprofil,,vendorID_0648,,['vendorID_0648'],,,,
lieferantenprofile/LP_vendorID_0660.pdf,lieferantenprofil,,vendorID_0660,,['vendorID_0660'],,,,
lieferantenprofile/LP_vendorID_0666.pdf,lieferantenprofil,,vendorID_0666,,['vendorID_0666'],,,,
lieferantenprofile/LP_vendorID_0695.pdf,lieferantenprofil,,vendorID_0695,,"['vendorID_0695', '12.08.2019']",,,,
lieferantenprofile/LP_vendorID_0704.pdf,lieferantenprofil,,vendorID_0704,,"['vendorID_0704', '04.02.2018']",,,,
lieferantenprofile/LP_vendorID_0756.pdf,lieferantenprofil,,vendorID_0756,,['vendorID_0756'],,,,
lieferantenprofile/LP_vendorID_0768.pdf,lieferantenprofil,,vendorID_0768,,"['vendorID_0768', '04.03.2018']",,,,
lieferantenprofile/LP_vendorID_0797.pdf,lieferantenprofil,,vendorID_0797,,"['vendorID_0797', '14.10.2020']",,,,
lieferantenprofile/LP_vendorID_0818.pdf,lieferantenprofil,,vendorID_0818,,"['vendorID_0818', '08.10.2020']",,,,
lieferantenprofile/LP_vendorID_0819.pdf,lieferantenprofil,,vendorID_0819,,"['vendorID_0819', '22.04.2020']",,,,
lieferantenprofile/LP_vendorID_0821.pdf,lieferantenprofil,,vendorID_0821,,"['vendorID_0821', '06.04.2019']",,,,
lieferantenprofile/LP_vendorID_0822.pdf,lieferantenprofil,,vendorID_0822,,"['vendorID_0822', '05.03.2018']",,,,
lieferantenprofile/LP_vendorID_0878.pdf,lieferantenprofil,,vendorID_0878,,"['vendorID_0878', '21.12.2020']",,,,
lieferantenprofile/LP_vendorID_0886.pdf,lieferantenprofil,,vendorID_0886,,['vendorID_0886'],,,,
lieferantenprofile/LP_vendorID_0899.pdf,lieferantenprofil,,vendorID_0899,,"['vendorID_0899', '11.06.2019']",,,,
lieferantenprofile/LP_vendorID_0939.pdf,lieferantenprofil,,vendorID_0939,,"['vendorID_0939', '21.02.2021']",,,,
lieferantenprofile/LP_vendorID_0963.pdf,lieferantenprofil,,vendorID_0963,,"['vendorID_0963', '07.01.2019']",,,,
lieferantenprofile/LP_vendorID_0967.pdf,lieferantenprofil,,vendorID_0967,,"['vendorID_0967', '08.10.2020']",,,,
lieferantenprofile/LP_vendorID_0975.pdf,lieferantenprofil,,vendorID_0975,,"['vendorID_0975', '28.01.2019']",,,,
lieferantenprofile/LP_vendorID_1002.pdf,lieferantenprofil,,vendorID_1002,,['vendorID_1002'],,,,
lieferantenprofile/LP_vendorID_1008.pdf,lieferantenprofil,,vendorID_1008,,"['vendorID_1008', '04.09.2019']",,,,
lieferantenprofile/LP_vendorID_1028.pdf,lieferantenprofil,,vendorID_1028,,['vendorID_1028'],,,,
lieferantenprofile/LP_vendorID_1100.pdf,lieferantenprofil,,vendorID_1100,,"['vendorID_1100', '28.08.2020']",,,,
lieferantenprofile/LP_vendorID_1235.pdf,lieferantenprofil,,vendorID_1235,,['vendorID_1235'],,,,
lieferantenprofile/LP_vendorID_1237.pdf,lieferantenprofil,,vendorID_1237,,['vendorID_1237'],,,,
lieferantenprofile/LP_vendorID_1240.pdf,lieferantenprofil,,vendorID_1240,,['vendorID_1240'],,,,
lieferantenprofile/LP_vendorID_1244.pdf,lieferantenprofil,,vendorID_1244,,['vendorID_1244'],,,,
lieferantenprofile/LP_vendorID_1259.pdf,lieferantenprofil,,vendorID_1259,,['vendorID_1259'],,,,
lieferantenprofile/LP_vendorID_1352.pdf,lieferantenprofil,,vendorID_1352,,['vendorID_1352'],,,,
lieferantenprofile/LP_vendorID_1455.pdf,lieferantenprofil,,vendorID_1455,,"['vendorID_1455', '11.04.2018']",,,,
lieferantenprofile/LP_vendorID_1494.pdf,lieferantenprofil,,vendorID_1494,,['vendorID_1494'],,,,
lieferantenprofile/LP_vendorID_1515.pdf,lieferantenprofil,,vendorID_1515,,['vendorID_1515'],,,,
lieferantenprofile/LP_vendorID_1531.pdf,lieferantenprofil,,vendorID_1531,,"['vendorID_1531', '22.04.2018']",,,,
lieferantenprofile/LP_vendorID_1574.pdf,lieferantenprofil,,vendorID_1574,,['vendorID_1574'],,,,
lieferantenprofile/LP_vendorID_1687.pdf,lieferantenprofil,,vendorID_1687,,['vendorID_1687'],,,,
lieferantenprofile/LP_vendorID_1688.pdf,lieferantenprofil,,vendorID_1688,,['vendorID_1688'],,,,
lieferantenprofile/LP_vendorID_1689.pdf,lieferantenprofil,,vendorID_1689,,['vendorID_1689'],,,,
lieferantenprofile/LP_vendorID_1690.pdf,lieferantenprofil,,vendorID_1690,,['vendorID_1690'],,,,
lieferantenprofile/LP_vendorID_1691.pdf,lieferantenprofil,,vendorID_1691,,['vendorID_1691'],,,,
lieferantenprofile/LP_vendorID_1692.pdf,lieferantenprofil,,vendorID_1692,,['vendorID_1692'],,,,
lieferantenprofile/LP_vendorID_1693.pdf,lieferantenprofil,,vendorID_1693,,['vendorID_1693'],,,,
lieferantenprofile/LP_vendorID_1695.pdf,lieferantenprofil,,vendorID_1695,,['vendorID_1695'],,,,
lieferantenprofile/LP_vendorID_1697.pdf,lieferantenprofil,,vendorID_1697,,['vendorID_1697'],,,,
lieferantenprofile/LP_vendorID_1709.pdf,lieferantenprofil,,vendorID_1709,,['vendorID_1709'],,,,
lieferantenprofile/LP_vendorID_1739.pdf,lieferantenprofil,,vendorID_1739,,['vendorID_1739'],,,,
lieferantenprofile/LP_vendorID_1744.pdf,lieferantenprofil,,vendorID_1744,,['vendorID_1744'],,,,
lieferantenprofile/LP_vendorID_1745.pdf,lieferantenprofil,,vendorID_1745,,['vendorID_1745'],,,,
lieferantenprofile/LP_vendorID_1746.pdf,lieferantenprofil,,vendorID_1746,,['vendorID_1746'],,,,
lieferantenprofile/LP_vendorID_1844.pdf,lieferantenprofil,,vendorID_1844,,['vendorID_1844'],,,,
lieferantenprofile/LP_vendorID_1851.pdf,lieferantenprofil,,vendorID_1851,,['vendorID_1851'],,,,
lieferantenprofile/LP_vendorID_1852.pdf,lieferantenprofil,,vendorID_1852,,['vendorID_1852'],,,,
lieferantenprofile/LP_vendorID_1853.pdf,lieferantenprofil,,vendorID_1853,,['vendorID_1853'],,,,
lieferantenprofile/LP_vendorID_1854.pdf,lieferantenprofil,,vendorID_1854,,['vendorID_1854'],,,,
lieferantenprofile/LP_vendorID_1855.pdf,lieferantenprofil,,vendorID_1855,,['vendorID_1855'],,,,
lieferantenprofile/LP_vendorID_1856.pdf,lieferantenprofil,,vendorID_1856,,['vendorID_1856'],,,,
lieferantenprofile/LP_vendorID_1857.pdf,lieferantenprofil,,vendorID_1857,,['vendorID_1857'],,,,
lieferantenprofile/LP_vendorID_1858.pdf,lieferantenprofil,,vendorID_1858,,['vendorID_1858'],,,,
lieferantenprofile/LP_vendorID_1860.pdf,lieferantenprofil,,vendorID_1860,,['vendorID_1860'],,,,
lieferantenprofile/LP_vendorID_1861.pdf,lieferantenprofil,,vendorID_1861,,['vendorID_1861'],,,,
lieferantenprofile/LP_vendorID_1862.pdf,lieferantenprofil,,vendorID_1862,,['vendorID_1862'],,,,
lieferantenprofile/LP_vendorID_1863.pdf,lieferantenprofil,,vendorID_1863,,['vendorID_1863'],,,,
lieferantenprofile/LP_vendorID_1864.pdf,lieferantenprofil,,vendorID_1864,,['vendorID_1864'],,,,
lieferantenprofile/LP_vendorID_1866.pdf,lieferantenprofil,,vendorID_1866,,['vendorID_1866'],,,,
lieferantenprofile/LP_vendorID_1867.pdf,lieferantenprofil,,vendorID_1867,,['vendorID_1867'],,,,
lieferantenprofile/LP_vendorID_1868.pdf,lieferantenprofil,,vendorID_1868,,['vendorID_1868'],,,,
lieferantenprofile/LP_vendorID_1870.pdf,lieferantenprofil,,vendorID_1870,,['vendorID_1870'],,,,
lieferantenprofile/LP_vendorID_1871.pdf,lieferantenprofil,,vendorID_1871,,['vendorID_1871'],,,,
lieferantenprofile/LP_vendorID_1872.pdf,lieferantenprofil,,vendorID_1872,,['vendorID_1872'],,,,
lieferantenprofile/LP_vendorID_1873.pdf,lieferantenprofil,,vendorID_1873,,['vendorID_1873'],,,,
mails/F1_F-00002_4507000683_00020.md,mail_f1,,,,"['16. Februar 2018', '13. Januar 2018', '4,4', '4507000683']",,F-00002,4507000683_00020,
mails/F1_F-00003_4507000939_00010.md,mail_f1,,,,"['26. Februar 2018', '8. Januar 2018', '6,1', '4507000939']",,F-00003,4507000939_00010,
mails/F1_F-00006_4507000683_00030.md,mail_f1,,,,"['26. Februar 2018', '7. Januar 2018', '5,7', '4507000683']",,F-00006,4507000683_00030,
mails/F1_F-00025_4507004715_00010.md,mail_f1,,,,"['2. Februar 2018', '15. Dezember 2017', '11,0', '4507004715']",,F-00025,4507004715_00010,
mails/F1_F-00026_4507004821_00020.md,mail_f1,,,,"['20. März 2018', '7. März 2018', '5,5', '4507004821']",,F-00026,4507004821_00020,
mails/F1_F-00027_4507004821_00040.md,mail_f1,,,,"['20. März 2018', '15. Februar 2018', '5,2', '4507004821']",,F-00027,4507004821_00040,
mails/F1_F-00028_4507004821_00030.md,mail_f1,,,,"['6. März 2018', '24. Januar 2018', '10,1', '4507004821']",,F-00028,4507004821_00030,
mails/F1_F-00033_4507005262_00010.md,mail_f1,,,,"['27. Februar 2018', '24. Februar 2018', '5,3', '4507005262']",,F-00033,4507005262_00010,
mails/F1_F-00044_4507007244_00010.md,mail_f1,,,,"['27. Februar 2018', '13. Januar 2018', '12,7', '4507007244']",,F-00044,4507007244_00010,
mails/F1_F-00047_4507007790_00010.md,mail_f1,,,,"['27. Februar 2018', '17. Januar 2018', '7,1', '4507007790']",,F-00047,4507007790_00010,
mails/F1_F-00049_4507000683_00070.md,mail_f1,,,,"['9. März 2018', '24. Januar 2018', '7,7', '4507000683']",,F-00049,4507000683_00070,
mails/F1_F-00051_4507008341_00010.md,mail_f1,,,,"['26. Februar 2018', '9. Januar 2018', '9,2', '4507008341']",,F-00051,4507008341_00010,
mails/F1_F-00059_4507009331_00010.md,mail_f1,,,,"['12. März 2018', '4. Februar 2018', '5,0', '4507009331']",,F-00059,4507009331_00010,
mails/F1_F-00061_4507009919_00010.md,mail_f1,,,,"['6. März 2018', '29. Januar 2018', '10,2', '4507009919']",,F-00061,4507009919_00010,
mails/F1_F-00066_4507010135_00010.md,mail_f1,,,,"['9. März 2018', '25. Februar 2018', '13,0', '4507010135']",,F-00066,4507010135_00010,
mails/F1_F-00070_4507010965_00010.md,mail_f1,,,,"['7. September 2018', '21. Juli 2018', '8,4', '4507010965']",,F-00070,4507010965_00010,
mails/F1_F-00073_4507012050_00010.md,mail_f1,,,,"['12. April 2018', '20. Februar 2018', '9,0', '4507012050']",,F-00073,4507012050_00010,
mails/F1_F-00075_4507012376_00010.md,mail_f1,,,,"['9. März 2018', '3. Februar 2018', '9,6', '4507012376']",,F-00075,4507012376_00010,
mails/F1_F-00078_4507013067_00010.md,mail_f1,,,,"['20. März 2018', '10. Februar 2018', '6,8', '4507013067']",,F-00078,4507013067_00010,
mails/F1_F-00086_4507015661_00010.md,mail_f1,,,,"['30. März 2018', '7. Februar 2018', '11,9', '4507015661']",,F-00086,4507015661_00010,
mails/F1_F-00091_4507016474_00010.md,mail_f1,,,,"['29. März 2018', '16. Februar 2018', '10,9', '4507016474']",,F-00091,4507016474_00010,
mails/F1_F-00092_4507016476_00010.md,mail_f1,,,,"['29. März 2018', '15. März 2018', '8,0', '4507016476']",,F-00092,4507016476_00010,
mails/F1_F-00099_4507017635_00010.md,mail_f1,,,,"['12. April 2018', '17. Februar 2018', '5,7', '4507017635']",,F-00099,4507017635_00010,
mails/F1_F-00102_4507017991_00010.md,mail_f1,,,,"['30. März 2018', '20. Februar 2018', '7,9', '4507017991']",,F-00102,4507017991_00010,
mails/F1_F-00103_4507017993_00010.md,mail_f1,,,,"['10. April 2018', '26. Februar 2018', '9,4', '4507017993']",,F-00103,4507017993_00010,
mails/F1_F-00110_4507018333_00010.md,mail_f1,,,,"['10. April 2018', '21. Februar 2018', '4,9', '4507018333']",,F-00110,4507018333_00010,
mails/F1_F-00112_4507018802_00010.md,mail_f1,,,,"['9. April 2018', '8. März 2018', '6,2', '4507018802']",,F-00112,4507018802_00010,
mails/F1_F-00114_4507018907_00010.md,mail_f1,,,,"['7. Juni 2018', '6. Mai 2018', '7,2', '4507018907']",,F-00114,4507018907_00010,
mails/F1_F-00118_4507019083_00010.md,mail_f1,,,,"['18. April 2018', '28. Februar 2018', '9,5', '4507019083']",,F-00118,4507019083_00010,
mails/F1_F-00119_4507019081_00010.md,mail_f1,,,,"['18. April 2018', '13. April 2018', '9,8', '4507019081']",,F-00119,4507019081_00010,
mails/F1_F-00120_4507019082_00010.md,mail_f1,,,,"['18. April 2018', '15. März 2018', '5,9', '4507019082']",,F-00120,4507019082_00010,
mails/F1_F-00122_4507019370_00010.md,mail_f1,,,,"['8. Juni 2018', '4. Juni 2018', '7,0', '4507019370']",,F-00122,4507019370_00010,
mails/F1_F-00123_4507019376_00010.md,mail_f1,,,,"['8. Mai 2018', '17. März 2018', '5,4', '4507019376']",,F-00123,4507019376_00010,
mails/F1_F-00130_4507020568_00010.md,mail_f1,,,,"['17. April 2018', '18. März 2018', '13,1', '4507020568']",,F-00130,4507020568_00010,
mails/F1_F-00139_4507021712_00010.md,mail_f1,,,,"['24. Mai 2018', '10. Mai 2018', '5,4', '4507021712']",,F-00139,4507021712_00010,
mails/F1_F-00142_4507022108_00010.md,mail_f1,,,,"['23. April 2018', '20. März 2018', '7,0', '4507022108']",,F-00142,4507022108_00010,
mails/F1_F-00144_4507022180_00050.md,mail_f1,,,,"['1. Mai 2018', '19. April 2018', '9,9', '4507022180']",,F-00144,4507022180_00050,
mails/F1_F-00149_4507022650_00010.md,mail_f1,,,,"['24. Mai 2018', '7. April 2018', '10,8', '4507022650']",,F-00149,4507022650_00010,
mails/F1_F-00162_4507023985_00010.md,mail_f1,,,,"['29. Mai 2018', '6. April 2018', '12,1', '4507023985']",,F-00162,4507023985_00010,
mails/F1_F-00163_4507023986_00010.md,mail_f1,,,,"['29. Mai 2018', '8. April 2018', '5,2', '4507023986']",,F-00163,4507023986_00010,
mails/F1_F-00164_4507024087_00010.md,mail_f1,,,,"['18. Mai 2018', '15. Mai 2018', '10,3', '4507024087']",,F-00164,4507024087_00010,
mails/F1_F-00173_4507025000_00010.md,mail_f1,,,,"['17. Mai 2018', '11. Mai 2018', '12,9', '4507025000']",,F-00173,4507025000_00010,
mails/F1_F-00181_4507026692_00010.md,mail_f1,,,,"['17. Mai 2018', '9. Mai 2018', '13,8', '4507026692']",,F-00181,4507026692_00010,
mails/F1_F-00182_4507027003_00010.md,mail_f1,,,,"['29. Mai 2018', '21. April 2018', '9,8', '4507027003']",,F-00182,4507027003_00010,
mails/F1_F-00183_4507027015_00010.md,mail_f1,,,,"['30. Mai 2018', '27. April 2018', '12,3', '4507027015']",,F-00183,4507027015_00010,
mails/F1_F-00185_4507027758_00010.md,mail_f1,,,,"['4. Juni 2018', '28. Mai 2018', '8,6', '4507027758']",,F-00185,4507027758_00010,
mails/F1_F-00187_4507028935_00010.md,mail_f1,,,,"['6. Juni 2018', '28. April 2018', '5,7', '4507028935']",,F-00187,4507028935_00010,
mails/F1_F-00191_4507031559_00010.md,mail_f1,,,,"['7. September 2018', '17. Juli 2018', '8,2', '4507031559']",,F-00191,4507031559_00010,
mails/F1_F-00195_4507032258_00010.md,mail_f1,,,,"['7. September 2018', '17. Juli 2018', '8,8', '4507032258']",,F-00195,4507032258_00010,
mails/F1_F-00197_4507033254_00010.md,mail_f1,,,,"['14. Januar 2019', '6. Januar 2019', '16,9', '4507033254']",,F-00197,4507033254_00010,
mails/F1_F-00200_4507033260_00010.md,mail_f1,,,,"['14. Januar 2019', '9. Januar 2019', '15,7', '4507033260']",,F-00200,4507033260_00010,
mails/F1_F-00201_4507033258_00010.md,mail_f1,,,,"['14. Januar 2019', '4. Dezember 2018', '13,8', '4507033258']",,F-00201,4507033258_00010,
mails/F1_F-00202_4507033256_00010.md,mail_f1,,,,"['14. Januar 2019', '11. Januar 2019', '18,0', '4507033256']",,F-00202,4507033256_00010,
mails/F1_F-00205_4507033262_00010.md,mail_f1,,,,"['14. Januar 2019', '6. Januar 2019', '13,6', '4507033262']",,F-00205,4507033262_00010,
mails/F1_F-00206_4507033267_00010.md,mail_f1,,,,"['14. Januar 2019', '24. November 2018', '13,6', '4507033267']",,F-00206,4507033267_00010,
mails/F1_F-00207_4507033268_00010.md,mail_f1,,,,"['14. Januar 2019', '9. Januar 2019', '11,4', '4507033268']",,F-00207,4507033268_00010,
mails/F1_F-00208_4507033269_00010.md,mail_f1,,,,"['14. Januar 2019', '12. Dezember 2018', '12,7', '4507033269']",,F-00208,4507033269_00010,
mails/F1_F-00209_4507033377_00010.md,mail_f1,,,,"['15. Juni 2018', '12. Juni 2018', '4,9', '4507033377']",,F-00209,4507033377_00010,
mails/F1_F-00210_4507033801_00010.md,mail_f1,,,,"['4. Juli 2018', '21. Juni 2018', '11,5', '4507033801']",,F-00210,4507033801_00010,
mails/F1_F-00216_4507035307_00010.md,mail_f1,,,,"['4. Juli 2018', '1. Juli 2018', '13,1', '4507035307']",,F-00216,4507035307_00010,
mails/F1_F-00217_4507035767_00030.md,mail_f1,,,,"['14. September 2018', '7. August 2018', '6,8', '4507035767']",,F-00217,4507035767_00030,
