vendor,vendor_name,positionen,bestellungen,warengruppen,volumen_eur,erste_bestellung,letzte_bestellung,f1_strikt,f2,hauptwarengruppe
vendorID_0050,vendor_0050,3,3,1,456.0,2018-01-26 12:50:00,2018-07-04 13:29:00,0,0,MRO (components)
vendorID_1574,vendor_1503,2,1,1,262.0,2018-09-17 13:20:00,2018-09-17 13:20:00,0,0,MRO (components)
vendorID_0064,vendor_0064,9,6,1,251.0,2018-01-31 08:15:00,2018-04-06 15:19:00,0,0,MRO (components)
vendorID_1494,vendor_1427,2,1,1,64.0,2018-06-15 09:09:00,2018-06-18 10:54:00,0,0,MRO (components)
vendorID_0513,vendor_0497,50,50,1,0.0,2018-01-15 09:53:00,2018-09-07 10:32:00,0,0,Styrene Acrylics
vendorID_0619,vendor_0164,62,62,1,0.0,2018-01-09 11:10:00,2018-09-27 17:24:00,0,0,Styrene Acrylics
vendorID_1235,vendor_1179,1,1,1,0.0,2018-03-21 09:52:00,2018-03-21 09:52:00,0,0,MRO (components)
vendorID_0224,vendor_0219,71,70,1,0.0,2018-01-09 10:18:00,2018-09-24 10:05:00,0,0,Pure Acrylics
vendorID_0256,vendor_0249,65,23,1,0.0,2018-01-03 09:00:00,2018-09-05 10:14:00,0,0,Aliphatic Solvents
vendorID_0704,vendor_0674,73,54,2,0.0,2018-01-10 15:04:00,2018-09-27 10:03:00,0,0,Chloride
vendorID_0322,vendor_0313,1,1,1,0.0,2018-01-10 12:38:00,2018-01-10 12:38:00,0,0,Aliphatic Solvents
vendorID_0357,vendor_0143,133,127,1,0.0,2018-01-03 16:23:00,2018-11-29 10:28:00,0,0,Chloride
vendorID_0458,vendor_0143,40,40,1,0.0,2018-01-04 16:04:00,2018-09-28 13:46:00,0,0,Chloride
