cID,PO,company_original,spend_area,sub_spend_area,vendor,item_cat,company_neu
4507076129_00030,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00020,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00010,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4508076163_00010,4508076163,companyID_0003,CAPEX & SOCS,QHSE Services,vendorID_1870,2-way match,companyID_0000
4507075975_00010,4507075975,companyID_0003,Enterprise Services,Insurances,vendorID_1697,2-way match,companyID_0000
4507076029_00010,4507076029,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4507075970_00030,4507075970,companyID_0003,Real Estate,Real estate services,vendorID_1692,2-way match,companyID_0000
4507075970_00020,4507075970,companyID_0003,Real Estate,Real estate services,vendorID_1692,2-way match,companyID_0000
4507075971_00030,4507075971,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1693,2-way match,companyID_0000
4507075971_00020,4507075971,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1693,2-way match,companyID_0000
4507075971_00010,4507075971,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1693,2-way match,companyID_0000
4507075971_00060,4507075971,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1693,2-way match,companyID_0000
4507075971_00050,4507075971,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1693,2-way match,companyID_0000
4507075971_00040,4507075971,companyID_0003,Real Estate,Real Estate - To Be Approved,vendorID_1693,2-way match,companyID_0000
4507076144_00010,4507076144,companyID_0003,Enterprise Services,Insurances,vendorID_1857,2-way match,companyID_0000
4507075973_00050,4507075973,companyID_0003,Real Estate,Escrow and title services,vendorID_1695,2-way match,companyID_0000
4507075973_00030,4507075973,companyID_0003,Real Estate,Escrow and title services,vendorID_1695,2-way match,companyID_0000
4507075973_00040,4507075973,companyID_0003,Real Estate,Escrow and title services,vendorID_1695,2-way match,companyID_0000
4507075973_00020,4507075973,companyID_0003,Real Estate,Escrow and title services,vendorID_1695,2-way match,companyID_0000
4507076026_00010,4507076026,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507075989_00010,4507075989,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1709,2-way match,companyID_0000
4507076129_00040,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4508076155_00070,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076155_00050,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4507076028_00010,4507076028,companyID_0003,CAPEX & SOCS,Facility Management,vendorID_1744,2-way match,companyID_0000
4507076139_00020,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076143_00010,4507076143,companyID_0003,Real Estate,Real estate services,vendorID_1856,2-way match,companyID_0000
4507076022_00020,4507076022,companyID_0003,Real Estate,Real estate services,vendorID_1739,2-way match,companyID_0000
4507076022_00010,4507076022,companyID_0003,Real Estate,Real estate services,vendorID_1739,2-way match,companyID_0000
4507076022_00060,4507076022,companyID_0003,Real Estate,Real estate services,vendorID_1739,2-way match,companyID_0000
4507076022_00050,4507076022,companyID_0003,Real Estate,Real estate services,vendorID_1739,2-way match,companyID_0000
4507076022_00040,4507076022,companyID_0003,Real Estate,Real estate services,vendorID_1739,2-way match,companyID_0000
4507076022_00030,4507076022,companyID_0003,Real Estate,Real estate services,vendorID_1739,2-way match,companyID_0000
4507076022_00070,4507076022,companyID_0003,Real Estate,Real estate services,vendorID_1739,2-way match,companyID_0000
4507076026_00020,4507076026,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076026_00030,4507076026,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076026_00040,4507076026,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076029_00030,4507076029,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4507076029_00040,4507076029,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4507076029_00050,4507076029,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4507076029_00020,4507076029,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4507076030_00010,4507076030,companyID_0003,Real Estate,Real estate services,vendorID_1746,2-way match,companyID_0000
4507076147_00020,4507076147,companyID_0003,Real Estate,Real estate services,vendorID_1858,2-way match,companyID_0000
4507076147_00010,4507076147,companyID_0003,Real Estate,Real estate services,vendorID_1858,2-way match,companyID_0000
4507076136_00010,4507076136,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076129_00050,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076137_00010,4507076137,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076139_00030,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076129_00110,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00060,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00140,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00190,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00200,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00070,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00150,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00080,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00170,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00090,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00100,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00180,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00210,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00220,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00230,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00120,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00130,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4507076129_00160,4507076129,companyID_0003,Real Estate,Real estate services,vendorID_1844,2-way match,companyID_0000
4508076160_00010,4508076160,companyID_0003,Real Estate,Real estate services,vendorID_1867,2-way match,companyID_0000
4507076136_00030,4507076136,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076136_00020,4507076136,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076137_00020,4507076137,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076137_00040,4507076137,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076137_00030,4507076137,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076137_00050,4507076137,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076138_00010,4507076138,companyID_0003,Real Estate,Business park,vendorID_1852,2-way match,companyID_0000
4507076139_00040,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076139_00100,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076139_00060,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076139_00090,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076139_00070,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076139_00080,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076139_00050,4507076139,companyID_0003,Real Estate,Real estate services,vendorID_1853,2-way match,companyID_0000
4507076140_00010,4507076140,companyID_0003,Real Estate,Escrow and title services,vendorID_1854,2-way match,companyID_0000
4507076146_00010,4507076146,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4507076141_00010,4507076141,companyID_0003,Real Estate,Escrow and title services,vendorID_1855,2-way match,companyID_0000
4507076141_00020,4507076141,companyID_0003,Real Estate,Escrow and title services,vendorID_1855,2-way match,companyID_0000
4507076141_00030,4507076141,companyID_0003,Real Estate,Escrow and title services,vendorID_1855,2-way match,companyID_0000
4507076142_00020,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00010,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00030,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00110,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00040,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00050,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00060,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00070,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00080,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00090,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00100,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00130,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00120,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076142_00140,4507076142,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4507076145_00010,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00080,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00040,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00030,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00060,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00050,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00070,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00020,4507076145,companyID_0003,CAPEX & SOCS,Laboratory Supplies & Services,vendorID_1689,2-way match,companyID_0000
4507076145_00090,4507076145,companyID_0003,,,vendorID_1689,2-way match,companyID_0000
4508076155_00060,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4507076151_00010,4507076151,companyID_0003,Real Estate,Real estate services,vendorID_1861,2-way match,companyID_0000
4507076152_00010,4507076152,companyID_0003,Real Estate,Real estate services,vendorID_1862,2-way match,companyID_0000
4507076149_00010,4507076149,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076150_00010,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00020,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00030,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00040,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4508076155_00020,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4507076149_00020,4507076149,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4507076150_00070,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00220,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00230,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00240,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00250,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00210,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00200,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00190,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00180,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00170,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00160,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00150,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00050,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00140,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00060,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00130,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00120,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00110,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00100,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00090,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076150_00080,4507076150,companyID_0003,Real Estate,Real estate services,vendorID_1860,2-way match,companyID_0000
4507076153_00010,4507076153,companyID_0003,Real Estate,Real estate services,vendorID_1863,2-way match,companyID_0000
4507076152_00020,4507076152,companyID_0003,Real Estate,Real estate services,vendorID_1862,2-way match,companyID_0000
4507076154_00010,4507076154,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4507076153_00020,4507076153,companyID_0003,Real Estate,Real estate services,vendorID_1863,2-way match,companyID_0000
4508076157_00010,4508076157,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4508076161_00010,4508076161,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1868,2-way match,companyID_0000
4508076158_00020,4508076158,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4508076158_00010,4508076158,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4508076155_00130,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076155_00120,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076155_00110,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076155_00100,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076155_00090,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076155_00080,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076155_00140,4508076155,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1864,2-way match,companyID_0000
4508076157_00020,4508076157,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4508076157_00030,4508076157,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4508076157_00040,4508076157,companyID_0003,Energy,Electricity,vendorID_1745,2-way match,companyID_0000
4508076159_00010,4508076159,companyID_0003,Real Estate,Real estate services,vendorID_1866,2-way match,companyID_0000
4508076160_00020,4508076160,companyID_0003,Real Estate,Real estate services,vendorID_1867,2-way match,companyID_0000
4508076163_00020,4508076163,companyID_0003,CAPEX & SOCS,QHSE Services,vendorID_1870,2-way match,companyID_0000
4508076164_00020,4508076164,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4508076164_00010,4508076164,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4508076164_00040,4508076164,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4508076164_00030,4508076164,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1690,2-way match,companyID_0000
4508076166_00010,4508076166,companyID_0003,Real Estate,Real estate services,vendorID_1872,2-way match,companyID_0000
4508076165_00020,4508076165,companyID_0003,Real Estate,Real estate services,vendorID_1871,2-way match,companyID_0000
4508076165_00010,4508076165,companyID_0003,Real Estate,Real estate services,vendorID_1871,2-way match,companyID_0000
4508076167_00010,4508076167,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4508076167_00020,4508076167,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4508076167_00040,4508076167,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4508076165_00030,4508076165,companyID_0003,Real Estate,Real estate services,vendorID_1871,2-way match,companyID_0000
4508076167_00030,4508076167,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1851,2-way match,companyID_0000
4508076169_00020,4508076169,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4508076169_00010,4508076169,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
4508076168_00010,4508076168,companyID_0003,CAPEX & SOCS,Transport & Hoisting Equipment,vendorID_1873,2-way match,companyID_0000
4508076168_00020,4508076168,companyID_0003,CAPEX & SOCS,Transport & Hoisting Equipment,vendorID_1873,2-way match,companyID_0000
4508076168_00030,4508076168,companyID_0003,CAPEX & SOCS,Transport & Hoisting Equipment,vendorID_1873,2-way match,companyID_0000
4508076169_00030,4508076169,companyID_0003,Real Estate,Real estate brokers or agents,vendorID_1687,2-way match,companyID_0000
